name category barcode brand id manufacturer image_urls base_price offer_price discount
"Колготки Innamore Ottima 40 Den цвет Nero размер 5" Колготки 6944944009542 Innamore 36029 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36029/images/601a381e070dc680c86c.jpg'] 283 283 
"Колготки Incanto Elle 40 Den цвет Nero размер 4" Колготки 6944944006930 Incanto 35985 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/35985/images/01a4d27d3c1e0f0793d9ec.jpg'] 286 229 20
"Колготки Incanto Elle 40 Den цвет Cappuccino размер 4" Колготки 6944944061915 Incanto 35984 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/35984/images/01a4d27d3c1e0f0793d9ec.jpg'] 286 229 20
"Туалетная бумага Zewa Плюс 2-х слойная Сирень 8 рулонов" "Туалетная бумага" 7322540666625 Zewa 33553 "SCA Hygiene Products Russia" ['https://api.bonjour-dv.ru/public_v1/products/33553/images/10337c4090100.jpg'] 308 247 20
"Гель для душа Ушастый нянь для детей любого возраста, начиная с рождения, а так же для взрослых и детей с чувствительной кожей и склонных к аллергии 250 мл" "Гели для душа" 4600697161020 "Ушастый нянь" 33545 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/33545/images/3018180c06030180e060.jpg'] 171 171 
"Пятновыводитель-отбеливатель Mitsuei для цветного белья 720  мл" "Отбеливатели, пятновыводители" 4978951030185 Mitsuei 36205 MITSUEI ['https://api.bonjour-dv.ru/public_v1/products/36205/images/d86c341a0d0743a1c0d0.jpg'] 197 197 
"Средство для мытья полов Glorix Лимонная энергия 1 л" "Для мытья пола" 8711600362284 Glorix 36191 "Юнилевер Русь ООО" ['https://api.bonjour-dv.ru/public_v1/products/36191/images/30181c0c07038381a0d0.jpg'] 402 402 
"Аэрозоль от насекомых Дихлофос Нео от летающих и ползающих насекомых 190 мл" "Средства от тараканов" 4600104027215 Дихлофос 36186 Арнест ['https://api.bonjour-dv.ru/public_v1/products/36186/images/20100c04020100804020.jpg'] 137 137 
"Освежитель для унитаза Bref Волна свежести 360 мл" "Таблетки для сантехники" 9000100704472 Bref 36174 Henkel ['https://api.bonjour-dv.ru/public_v1/products/36174/images/301a0c0e070311c8d430.jpg'] 460 391 15
"Соль для посудомоечных машин Somat 1.5 кг" "Для посудомоечных машин" 9000100147293 Somat 36146 Henkel ['https://api.bonjour-dv.ru/public_v1/products/36146/images/01d22592de2e1c0a1c1bee.jpg'] 364 273 25
"Ополаскиватель для посудомоечной машины Somat 750 мл" "Для посудомоечных машин" 9000100344098 Somat 36137 Henkel ['https://api.bonjour-dv.ru/public_v1/products/36137/images/20301c0c07038180e070.jpg'] 593 416 30
"Средство для стирки жидкое Умка для детского белья гель 1 л" "Гели и жидкие средства для стирки" 4627087920357 Умка 36362 УМКА ['https://api.bonjour-dv.ru/public_v1/products/36362/images/2010180c0e070361b0d0.jpg'] 353 353 
"Освежитель воздуха Symphony Магнолия и ваниль 345 мл" "Аэрозоли, гели" 4600104032691 Symphony 36351 Арнест ['https://api.bonjour-dv.ru/public_v1/products/36351/images/20100804020100c04020.jpg'] 144 144 
"Освежитель воздуха Symphony Цитрус и инжир 300 мл" "Аэрозоли, гели" 4600104032684 Symphony 36350 Арнест ['https://api.bonjour-dv.ru/public_v1/products/36350/images/100c06030180c06000.jpg'] 144 144 
"Отбеливатель Mitsuei хлорный 1.5 л" "Отбеливатели, пятновыводители" 4978951060014 Mitsuei 36287 MITSUEI ['https://api.bonjour-dv.ru/public_v1/products/36287/images/100c04020180c06000.jpg'] 377 377 
"Колготки Innamore Ottima 40 Den цвет Daino размер 2" Колготки 6944944009399 Innamore 37252 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37252/images/601a381e070dc680c86c.jpg'] 283 283 
"Колготки Innamore Ottima 40 Den цвет Cappuccino размер 2" Колготки 6944944013778 Innamore 37251 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37251/images/601a381e070dc680c86c.jpg'] 283 283 
"Колготки Incanto Cosmo 40 Den цвет Daino шелковистые размер 2" Колготки 6944944006282 Incanto 37246 ИТАЛКОМ "['https://api.bonjour-dv.ru/public_v1/products/37246/images/c870381c0e0703a1d0e8.jpg', 'https://api.bonjour-dv.ru/public_v1/products/37246/images/018cd2783c1c8d46a359ac.jpg']" 252 252 
"Колготки Innamore Bella 40 Den цвет Moka размер 3" Колготки 6944944000679 Innamore 37240 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37240/images/01e0f178bc5c2e95cb359a.jpg'] 227 182 20
"Лампа светодиодная  АктивЭлектро Regular LED-C37 Свеча 8Вт 175-265В 3000К 700Лм Е14" "Фонари, лампы, лампочки" 4680625002571 АктивЭлектро 118462 АктивЭлектро "['https://api.bonjour-dv.ru/public_v1/products/118462/images/01aad54d261308b62b89c4.jpg', 'https://api.bonjour-dv.ru/public_v1/products/118462/images/30363198cd8320c060.jpg']" 97 97 
"Блок гигиенический Domestos Power 5 Свежесть океана для унитаза  55г" "Таблетки для сантехники" 8710908551154 Domestos 36693 "Юнилевер Русь ООО" ['https://api.bonjour-dv.ru/public_v1/products/36693/images/3c1d0d86c321d030.jpg'] 298 209 30
"Средство для стирки жидкое Ласка Care & repair Уход и восстановление гель 1 л" "Гели и жидкие средства для стирки" 9000101009491 Ласка 36650 Henkel ['https://api.bonjour-dv.ru/public_v1/products/36650/images/2030180c0e0381c1a060.jpg'] 481 481 
"Мыло хозяйственное Sandokkaebi для стирки Антибактериальное 230 гр" "Мыло хозяйственное" 8801353005306 Sandokkaebi 36646 Корея ['https://api.bonjour-dv.ru/public_v1/products/36646/images/43b49f8c44700000.jpg'] 138 138 
"Сменный баллон для автоматического освежителя воздуха Provence Бархат 250 мл" "Автоматические освежители" 4607152949827 Provence 35549 "Феникс Юнайтид ООО" ['https://api.bonjour-dv.ru/public_v1/products/35549/images/381c0e070381c0e000.jpg'] 270 270 
"Гель-бальзам после укусов насекомых Picnic Baby 30 мл" "Средства от комаров" 4600104032165 Picnic 35659 Арнест ['https://api.bonjour-dv.ru/public_v1/products/35659/images/180c020100804000.jpg'] 153 108 29
"Чистящий спрей Cif Power&Shine Антиналет 500 мл" "Для сантехники" 8000630720233 Cif 35506 "Юнилевер Русь ООО" ['https://api.bonjour-dv.ru/public_v1/products/35506/images/41e1e1e1c080c0c.jpg'] 428 428 
"Сменный баллон для автоматического освежителя воздуха Provence Антитабак, манго и ваниль блокатор запахов 250 мл" "Автоматические освежители" 4620029240742 Provence 35435 "Феникс Юнайтид ООО" ['https://api.bonjour-dv.ru/public_v1/products/35435/images/1c0e070301800000.jpg'] 249 249 
"Стиральный порошок Умка для детского белья 6 кг" "Стиральные порошки" 4627087922153 Умка 35396 УМКА ['https://api.bonjour-dv.ru/public_v1/products/35396/images/e0f0f096ccb4968c.jpg'] 1304 1304 
"Отбеливатель Умка для детского белья 400 гр" "Отбеливатели, пятновыводители" 4627087920364 Умка 35394 УМКА ['https://api.bonjour-dv.ru/public_v1/products/35394/images/542a160e864301a000.jpg'] 147 147 
"Стиральный порошок Умка для детского белья 4 кг" "Стиральные порошки" 4627087922146 Умка 35393 УМКА ['https://api.bonjour-dv.ru/public_v1/products/35393/images/a2b2b296ccb4d684.jpg'] 841 841 
"Носки Innamore Microrete Nero мелкая сетка 2 пары" Носки 6944944008569 Innamore 37865 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37865/images/01e0f8783c1c0f0713d9a4.jpg'] 280 280 
"Колготки Innamore Ottima 40 Den цвет Nero размер 2" Колготки 6944944009511 Innamore 37814 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37814/images/601a381e070dc680c86c.jpg'] 283 283 
"Колготки Innamore Bella 70 Den цвет Daino размер 2" Колготки 6944944001294 Innamore 37813 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/37813/images/01c4f2783c1d0f864331b8.jpg'] 314 314 
