name,category,barcode,brand,id,manufacturer,image_urls,base_price,offer_price,promotion
Чистая Линия гель для тела Антицеллюлит 200 мл,Кремы и лосьоны для тела,4600702084412,Чистая линия,37938,Юнилевер Русь ООО,"https://api.bonjour-dv.ru/public_v1/products/37938/images/dd5d4d45d9d95959.jpg,https://api.bonjour-dv.ru/public_v1/products/37938/images/4848487450547070.jpg,https://api.bonjour-dv.ru/public_v1/products/37938/images/c0c0c0c0c1c1616.jpg,https://api.bonjour-dv.ru/public_v1/products/37938/images/c0c0c0c0c0c1616.jpg,https://api.bonjour-dv.ru/public_v1/products/37938/images/c0c0e0e0c00.jpg,https://api.bonjour-dv.ru/public_v1/products/37938/images/507030f0e1c0c08.jpg",323,323,
"L'Oreal Paris Стойкая краска-уход для волос ""Casting Creme Gloss"" без аммиака, оттенок 412, Какао со льдом",Краски для волос,3600521988756,L`Oreal Paris,37936,Л`Ореаль АО,"https://api.bonjour-dv.ru/public_v1/products/37936/images/d868361e0f07832190f0.jpg,https://api.bonjour-dv.ru/public_v1/products/37936/images/8050652e9a8e66f39944.jpg,https://api.bonjour-dv.ru/public_v1/products/37936/images/01d6d707b711e884eae1c2.jpg,https://api.bonjour-dv.ru/public_v1/products/37936/images/01f0b07638188e878381c0.jpg,https://api.bonjour-dv.ru/public_v1/products/37936/images/31188e4309848080503a.jpg,https://api.bonjour-dv.ru/public_v1/products/37936/images/0168b162b55089c77b9dce.jpg",781,586,25
Мыло туалетное Palmolive Натурэль Баланс и мягкость с экстрактом ромашки и витамином Е 90 гр,Туалетное мыло,8693495032742,Palmolive,37918,Колгейт-Палмолив АО,https://api.bonjour-dv.ru/public_v1/products/37918/images/615256e5c7e000.jpg,112,101,10
Сменные кассеты Gillette Fusion5 ProGlide Power с 5 лезвиями с точным тримммером для труднодоступных мест для гладкого бритья надолго 2 шт,"Станки, кассеты",7702018085927,Gillette,37916,Procter & Gamble,"https://api.bonjour-dv.ru/public_v1/products/37916/images/273569694d232733.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/018a874badd28975dae54c.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/c131a9562f7798dc2e0e.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/01a495c7a3d8e8741a0d08.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/01289f41a3d068b4da2594.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/0b89cee070698f0b1b.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/010ac361bc9ecf47e7bd50.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/014485c6a2532b160e0301.jpg,https://api.bonjour-dv.ru/public_v1/products/37916/images/017731c96c960381c3c128.jpg",1535,1535,
Гель для душа 3в1 Palmolive Men Спорт Восстанавливающий 250 мл,Гели для душа,8693495034784,Palmolive Men,37915,Колгейт-Палмолив АО,"https://api.bonjour-dv.ru/public_v1/products/37915/images/e060e1616160e1e.jpg,https://api.bonjour-dv.ru/public_v1/products/37915/images/4070381a0d068301c078.jpg",389,389,
Крем для лица L`Oreal Paris Возраст Эксперт,"Кремы, сыворотки",3600522058922,L`Oreal Paris,37912,Л`Ореаль АО,"https://api.bonjour-dv.ru/public_v1/products/37912/images/012190fa76b149747a3c00.jpg,https://api.bonjour-dv.ru/public_v1/products/37912/images/0100b2c9a25a082c161201.jpg,https://api.bonjour-dv.ru/public_v1/products/37912/images/f031f87c9e8e1f1c00.jpg,https://api.bonjour-dv.ru/public_v1/products/37912/images/0134c20d328b4d24d069c4.jpg,https://api.bonjour-dv.ru/public_v1/products/37912/images/706071b0984e23307018.jpg",645,484,25
Салфетки бумажные Дивная белые 2-х слойные 100 шт,"Бумажные салфетки, платочки",1925116704033,Дивная,37902,Дивная косметика,https://api.bonjour-dv.ru/public_v1/products/37902/images/f0303030600.jpg,33,29,12
"Шампунь для волос Gliss Kur Экстремальное восстановление для поврежденных волос, восстановление глубоких повреждений 400 мл",Шампуни для волос,4015000942058,Gliss Kur,37895,Schwarzkopf,"https://api.bonjour-dv.ru/public_v1/products/37895/images/60301c0e070381c0c060.jpg,https://api.bonjour-dv.ru/public_v1/products/37895/images/c6e375f8fe7d36dbcfc5.jpg,https://api.bonjour-dv.ru/public_v1/products/37895/images/70703a1d0d824120e070.jpg,https://api.bonjour-dv.ru/public_v1/products/37895/images/70703e1d0e864120b070.jpg,https://api.bonjour-dv.ru/public_v1/products/37895/images/b0783e1d068182a000.jpg,https://api.bonjour-dv.ru/public_v1/products/37895/images/0140a84c39108a154aa55a.jpg",474,474,
Салфетки бумажные Дивная цветные в ассортименте 33х33 см 2-х слойные 100 шт,"Бумажные салфетки, платочки",1925116704057,Дивная,37882,Дивная косметика,https://api.bonjour-dv.ru/public_v1/products/37882/images/f0fc7e37178f47e371f0.jpg,34,34,
Мыло туалетное Невская косметика Натуральное антибактериальное 90 гр,Туалетное мыло,4600697101835,Невская косметика,38126,Невская Косметика АО,"https://api.bonjour-dv.ru/public_v1/products/38126/images/806333194ca6b3a000.jpg,https://api.bonjour-dv.ru/public_v1/products/38126/images/0100c265ba1108c4021820.jpg",44,44,
Дезодорант-антиперспирант стик Rexona Сухость пудры 40 мл,Стики,46149886,Rexona,38125,Юнилевер Русь ООО,"https://api.bonjour-dv.ru/public_v1/products/38125/images/7878546878787870.jpg,https://api.bonjour-dv.ru/public_v1/products/38125/images/1a1e160e1e1a1a1e.jpg,https://api.bonjour-dv.ru/public_v1/products/38125/images/1a16161e1e1a1a1e.jpg,https://api.bonjour-dv.ru/public_v1/products/38125/images/70d130d17361e0c.jpg,https://api.bonjour-dv.ru/public_v1/products/38125/images/30180e06038180c000.jpg",342,342,
Дезодорант-антиперспирант спрей Rexona Сухость пудры 150 мл,Спреи,4605922016991,Rexona,38124,Юнилевер Русь ООО,"https://api.bonjour-dv.ru/public_v1/products/38124/images/6b6366efe7676766.jpg,https://api.bonjour-dv.ru/public_v1/products/38124/images/2020203028282838.jpg,https://api.bonjour-dv.ru/public_v1/products/38124/images/20181c0c060381c0e030.jpg",295,295,
